Dahili_uydu_alici,Ekran_Boyutu,Garanti_Tipi,Goruntu_Kalitesi,Goruntuleme_Teknolojisi,Smart_TV,Cozunurluk,Fiyat
0,3,11,4,2,1,1,3589.0
0,3,15,4,2,0,6,4385.77
0,4,16,0,2,0,6,16840.0
0,4,11,3,2,0,2,6499.0
0,3,11,4,2,0,1,3539.0
0,4,19,3,2,0,2,7440.0
0,4,15,0,2,0,3,16900.0
0,4,11,0,2,0,3,9799.0
0,4,16,0,2,0,3,23999.0
0,3,19,4,2,1,1,3849.0
0,4,15,0,2,0,3,11500.0
0,1,19,0,2,0,3,16499.0
0,4,22,0,2,0,3,13685.0
0,3,19,4,2,0,1,3849.0
0,4,19,0,2,0,3,9860.0
0,1,15,0,2,0,6,15199.0
0,4,15,0,2,0,3,10949.0
0,4,12,0,2,0,3,18300.0
0,4,9,0,2,0,3,15595.0
0,4,3,0,2,0,3,8849.0
0,1,22,0,2,0,3,21710.0
0,4,22,0,2,0,3,12499.0
0,4,15,3,2,0,2,6799.0
0,3,21,4,2,0,1,4157.65
0,4,12,0,2,0,3,26900.0
0,3,15,4,2,0,1,4949.0
0,4,15,3,2,0,2,6599.0
0,3,23,4,2,0,1,4279.0
0,4,1,0,2,0,3,12439.0
0,4,22,0,2,0,3,14998.0
0,4,9,0,2,0,6,27799.0
0,3,13,4,2,0,1,5313.0
0,4,5,0,0,0,6,12749.0
0,3,15,4,2,0,1,4999.0
0,1,22,0,4,0,3,23220.0
0,4,23,3,2,0,2,6099.0
0,4,7,3,2,0,6,6999.0
0,3,15,4,2,1,6,3399.0
0,3,17,4,1,1,1,3699.0
0,4,13,0,2,0,3,11125.0
0,4,19,0,2,0,3,9969.0
0,1,15,0,4,0,3,28999.0
0,1,18,0,2,0,3,99999.0
0,4,19,0,2,1,3,10250.0
0,3,15,3,2,0,2,6950.0
0,1,9,0,2,0,6,31990.0
0,4,5,0,0,0,3,13399.0
0,4,13,3,2,0,3,8849.0
0,4,19,0,2,0,3,12199.0
0,4,15,0,2,0,3,16900.0
0,2,16,0,4,0,6,339000.0
0,3,16,4,2,0,1,8728.0
0,4,22,0,2,0,6,12740.0
1,3,15,4,2,1,1,2499.0
0,4,22,0,2,0,3,12016.27
0,4,15,0,2,0,3,13399.0
1,1,12,0,2,0,3,37999.0
0,4,16,0,2,0,3,17850.0
1,4,12,0,2,0,3,25000.33
0,1,8,0,2,0,3,19659.0
0,4,9,0,2,0,6,23999.0
0,3,15,4,2,0,1,4127.94
0,4,5,0,2,0,3,15499.0
0,4,16,0,2,0,3,21690.0
0,1,22,0,2,0,3,20825.0
0,4,11,0,2,0,3,9499.0
0,1,15,0,4,0,3,32249.99
0,4,22,0,2,0,4,9399.0
0,3,2,4,2,1,1,3699.0
0,4,22,3,2,1,2,7849.0
0,1,15,0,2,0,3,23399.0
0,1,11,0,2,0,3,22699.0
0,4,22,3,2,0,2,7900.0
0,1,15,0,1,0,6,19200.0
0,1,23,0,2,0,3,18801.0
0,4,15,3,2,0,3,13875.0
0,4,9,0,3,0,3,25800.0
0,1,15,0,4,0,6,28170.0
0,4,15,3,2,0,2,6139.0
0,4,22,0,2,0,3,11808.0
0,4,16,0,2,0,3,17979.0
0,3,17,4,2,1,1,4999.0
0,4,15,0,4,0,3,19500.0
0,1,15,0,2,0,3,26890.0
0,4,15,3,2,0,2,6799.0
0,4,15,0,4,0,3,24699.0
0,3,13,4,2,1,1,4400.0
0,4,15,0,1,1,6,15999.0
0,4,15,3,2,0,2,5599.0
0,4,5,0,2,0,6,10899.0
0,4,19,3,2,0,2,7289.99
0,4,22,0,4,0,3,17800.0
0,4,15,0,2,0,3,8799.0
0,1,16,0,2,0,3,31049.0
0,4,22,3,2,1,1,5999.0
0,1,22,0,1,0,6,18400.0
0,1,15,0,1,0,6,22890.0
0,4,3,3,2,0,3,10499.0
0,4,2,0,2,0,3,12999.0
0,4,5,0,0,0,6,11200.0
0,1,9,0,5,0,6,39998.0
0,4,11,0,2,0,2,9499.0
0,4,22,3,1,0,3,7999.0
0,1,16,0,4,0,3,37528.0
0,4,9,0,5,0,3,23999.0
0,1,9,0,5,0,3,54149.0
0,4,15,0,2,0,3,11399.0
0,4,22,0,2,0,3,13435.0
0,4,13,3,2,0,6,11999.0
0,1,12,0,3,0,6,59999.0
0,1,5,0,2,0,6,15499.0
0,4,15,0,1,1,6,10569.0
0,3,15,3,2,1,2,2999.0
1,3,12,4,2,1,6,4984.0
0,4,1,3,2,1,2,6799.0
0,1,15,0,2,0,6,25450.0
1,3,23,3,2,1,0,2650.0
0,4,12,0,2,0,3,15399.0
0,2,15,0,4,0,3,136940.0
0,1,12,0,2,0,4,32999.0
0,4,16,0,4,0,3,37765.0
0,1,15,0,2,0,6,31999.0
0,4,16,0,2,0,6,21899.0
0,4,12,0,2,0,3,22890.0
0,4,15,0,2,0,3,15990.0
0,2,16,0,4,0,6,314999.0
0,4,7,0,2,0,3,18500.0
0,2,15,3,2,0,3,278999.0
0,4,15,3,2,0,6,9490.0
0,3,22,4,2,1,1,4799.0
0,4,16,3,2,0,2,11399.0
0,4,6,0,4,0,3,32999.0
0,1,22,0,2,0,3,18799.0
1,4,12,0,2,0,3,33500.0
0,4,15,0,2,0,6,19399.0
0,4,1,0,2,0,3,8980.0
0,3,19,4,2,1,1,4200.0
0,4,1,3,2,0,2,7829.0
0,4,5,3,0,0,6,8250.0
0,4,22,0,2,0,3,9894.99
0,4,16,0,2,0,3,15499.0
0,4,15,0,1,0,6,9979.0
0,4,16,0,2,0,3,23929.0
0,4,22,0,2,0,3,15450.0
0,4,13,3,2,1,2,7590.0
0,4,1,3,2,1,2,6800.0
0,1,15,0,2,0,3,36999.0
0,4,16,0,2,0,6,16840.0
0,4,15,0,2,0,6,8999.0
0,4,15,3,2,1,2,8299.0
0,1,9,0,4,0,6,39199.0
0,4,11,0,2,0,3,9399.0
0,3,23,4,2,1,1,3100.0
0,3,15,4,2,0,6,3583.75
0,4,15,0,2,0,3,9850.0
0,4,11,0,2,0,3,13300.0
0,4,4,0,2,0,6,12679.0
0,4,15,0,2,0,3,18499.0
0,1,17,0,1,0,3,15999.0
0,4,8,0,2,0,3,16499.0
0,4,10,0,2,0,3,11761.65
0,4,12,0,2,0,3,15554.5
0,4,13,3,2,0,2,7500.0
0,4,3,0,2,0,3,12899.0
0,4,5,0,0,0,6,12199.0
0,4,12,0,2,0,3,18699.0
0,4,12,0,2,0,3,21999.0
0,4,12,0,2,0,3,22099.0
0,4,8,0,2,0,3,14395.0
0,3,12,4,2,0,1,7599.0
0,4,16,0,2,0,3,25080.0
0,4,11,3,2,0,2,6719.0
0,4,15,0,4,0,6,19330.0
0,4,9,0,2,0,3,17599.0
0,1,15,0,4,0,3,26117.13
1,4,7,0,2,0,6,10099.0
0,4,22,0,4,0,3,13999.0
0,4,15,0,1,0,6,10999.0
0,4,1,0,2,0,3,12550.0
0,4,21,3,2,0,2,6399.0
0,4,15,0,2,0,3,12550.0
0,4,22,0,2,0,3,13499.0
0,4,1,3,2,1,2,8599.0
0,3,1,3,2,0,6,7350.0
0,4,1,0,2,0,3,15699.0
0,4,9,0,3,0,3,45739.0
0,4,5,0,4,0,6,16360.0
0,3,22,3,2,0,2,5509.0
0,4,12,0,2,0,3,20818.33
0,4,4,0,2,0,3,17999.0
0,3,23,4,2,1,6,3399.0
0,4,23,4,2,1,6,6299.0
0,4,1,3,2,1,2,9499.0
0,1,7,0,2,0,6,25000.0
1,3,15,4,2,1,6,2899.0
0,1,22,0,2,0,3,20999.0
0,3,15,4,2,0,1,3949.0
0,4,15,0,2,0,3,19949.0
0,3,11,3,2,1,6,4199.0
0,3,7,4,2,1,1,3999.0
0,4,22,0,2,0,3,9999.0
0,4,5,3,2,0,6,8947.35
0,3,22,4,2,1,1,4489.0
0,1,22,0,2,0,3,21150.0
0,4,15,3,2,1,2,5399.0
0,3,22,4,2,0,1,5590.99
0,4,13,0,2,0,3,14749.0
0,1,12,0,2,0,3,33999.0
1,0,1,3,2,1,2,13299.0
0,4,15,0,2,0,6,17699.0
0,4,1,0,2,0,3,11300.0
0,4,13,0,2,0,3,12749.0
0,1,13,0,2,0,3,19250.0
0,4,10,0,2,0,3,10299.0
1,3,15,4,2,0,1,6199.0
0,4,15,0,2,0,4,9500.0
0,4,22,3,2,0,2,7894.99
0,2,15,0,1,0,6,27899.0
0,4,19,3,2,1,2,8999.0
0,1,6,0,4,0,3,44299.0
0,4,12,0,2,0,4,18799.0
0,4,19,3,2,0,6,6999.0
0,3,23,4,2,0,0,4324.0
0,4,8,0,2,0,3,13000.0
0,4,22,4,2,1,3,12299.0
0,4,22,0,1,0,3,8699.0
0,3,5,3,0,1,6,2899.0
0,1,15,0,1,0,6,27699.0
0,4,5,0,2,0,6,14444.0
0,1,7,0,3,0,3,20000.0
0,1,4,0,2,0,3,25999.0
0,1,15,0,2,0,6,21399.0
0,4,15,0,4,0,3,22685.0
0,4,16,0,2,0,3,21199.0
0,4,1,0,2,0,3,21599.0
0,3,22,3,2,0,6,7795.0
0,1,12,0,2,0,3,36099.0
0,4,22,0,2,0,3,16480.0
0,1,9,0,3,0,6,325199.0
0,1,9,0,2,0,3,58995.0
0,1,12,0,2,0,3,99899.99
0,4,22,0,2,0,3,11699.0
0,3,22,4,2,1,1,5015.62
0,1,9,0,5,0,3,46220.0
0,1,16,0,2,0,3,34999.0
0,1,16,0,2,0,3,52790.0
0,4,15,0,1,0,6,12299.0
0,4,1,0,2,0,3,17299.0
0,3,15,4,2,1,1,4299.0
0,1,15,0,2,0,6,22221.0
0,1,15,0,2,0,6,20999.0
0,4,12,0,2,0,6,13999.0
0,4,1,3,2,0,2,11599.0
0,4,22,0,2,0,3,11499.0
1,4,15,0,4,0,3,24389.0
0,4,15,0,2,0,6,23873.0
1,3,23,4,2,1,6,2819.61
0,4,7,0,2,0,3,13799.0
0,4,1,3,2,0,6,10346.0
0,4,1,3,2,0,2,9499.0
